cat order,subcat order,category,subcategory,emoji,georgian,audio,english,russian
1,1,Foundations,Basics,➕,და,/asdf,and,и
1,1,Foundations,Basics,👎,ცუდად,/asdf,badly,плохо
1,1,Foundations,Basics,🔗,რადგან,/asdf,because,потому что
1,1,Foundations,Basics,➖,მაგრამ,/asdf,but,но
1,1,Foundations,Basics,🎯,სწორი,/asdf,correct,верно
1,1,Foundations,Basics,🚪🚶,ნახვამდის,/asdf,goodbye,до свидания
1,1,Foundations,Basics,👋,გამარჯობათ,/asdf,hello,здравствуйте
1,1,Foundations,Basics,❓,როგორ ხართ?,/asdf,how are you?,как ваши дела?
1,1,Foundations,Basics,🙋‍♂️,მე ვარ,/asdf,I am,Я (есть)
1,1,Foundations,Basics,🤷,არ ვიცი,/asdf,I don't know,Я не знаю
1,1,Foundations,Basics,❌💡,ვერ გავიგე,/asdf,I don't understand,Я не понимаю
1,1,Foundations,Basics,💡,მე გავიგე,/asdf,I understood,Я понял(a)
1,1,Foundations,Basics,•,ეს არის,/asdf,it is,это так
1,1,Foundations,Basics,📛,მე მქვია,/asdf,my name is,меня зовут
1,1,Foundations,Basics,🤝,სასიამოვნოა,/asdf,nice to meet you,очень приятно
1,1,Foundations,Basics,❌,არა,/asdf,no,нет
1,1,Foundations,Basics,👌,კარგი,/asdf,okay,хорошо
1,1,Foundations,Basics,🆚,ან,/asdf,or,или
1,1,Foundations,Basics,🤲,თუ შეიძლება,/asdf,please,пожалуйста
1,1,Foundations,Basics,❗,ბოდიშით / უკაცრავად,/asdf,sorry / excuse me,извините
1,1,Foundations,Basics,🙏,მადლობა,/asdf,thank you,спасибо
1,1,Foundations,Basics,➡️,ამიტომ,/asdf,therefore / that's why,поэтому
1,1,Foundations,Basics,👍,კარგად,/asdf,well / good,хорошо
1,1,Foundations,Basics,👇❓,ეს რა არის?,/asdf,what is this?,что это?
1,1,Foundations,Basics,✅,კი / დიახ,/asdf,yes,да
1,1,Foundations,Basics,💁,არაფრის,/asdf,you're welcome,пожалуйста
1,2,Foundations,Questions,💳❓,ბარათით?,,by card,картой
1,2,Foundations,Questions,🫴❓,გაქვთ...?,,do you have...?,у вас есть...?
1,2,Foundations,Questions,🛍️❓,პარკი გინდათ?,,do you want a bag?,хотите пакет?
1,2,Foundations,Questions,👶❓,რა ასაკისთვის?,,for what age?,для какого возраста?
1,2,Foundations,Questions,⚙️❓,როგორ,,how,как
